,data,valor
0,01/01/1992,24.81
1,01/02/1992,24.23
2,01/03/1992,21.14
3,01/04/1992,21.11
4,01/05/1992,26.08
5,01/06/1992,20.95
6,01/07/1992,21.07
7,01/08/1992,22.30
8,01/09/1992,25.52
9,01/10/1992,27.38
10,01/11/1992,24.97
11,01/12/1992,27.03
12,01/01/1993,28.63
13,01/02/1993,23.76
14,01/03/1993,27.68
15,01/04/1993,29.19
16,01/05/1993,26.99
17,01/06/1993,30.81
18,01/07/1993,31.51
19,01/08/1993,32.19
20,01/09/1993,35.43
21,01/10/1993,35.13
22,01/11/1993,36.56
23,01/12/1993,37.94
24,01/01/1994,40.15
25,01/02/1994,38.08
26,01/03/1994,41.88
27,01/04/1994,44.41
28,01/05/1994,44.34
29,01/06/1994,50.94
30,01/07/1994,5.99
31,01/08/1994,-0.23
32,01/09/1994,0.16
33,01/10/1994,2.71
34,01/11/1994,2.85
35,01/12/1994,1.42
36,01/01/1995,0.48
37,01/02/1995,-0.19
38,01/03/1995,0.18
39,01/04/1995,1.94
40,01/05/1995,1.71
41,01/06/1995,1.12
42,01/07/1995,1.78
43,01/08/1995,0.20
44,01/09/1995,0.54
45,01/10/1995,1.00
46,01/11/1995,0.77
47,01/12/1995,0.57
48,01/01/1996,0.54
49,01/02/1996,-0.66
50,01/03/1996,-0.60
51,01/04/1996,0.46
52,01/05/1996,1.06
53,01/06/1996,0.69
54,01/07/1996,0.65
55,01/08/1996,-0.14
56,01/09/1996,-0.44
57,01/10/1996,0.36
58,01/11/1996,0.11
59,01/12/1996,0.20
60,01/01/1997,0.53
61,01/02/1997,0.03
62,01/03/1997,0.12
63,01/04/1997,0.11
64,01/05/1997,0.04
65,01/06/1997,0.09
66,01/07/1997,0.17
67,01/08/1997,-0.36
68,01/09/1997,0.13
69,01/10/1997,0.31
70,01/11/1997,0.01
71,01/12/1997,0.31
72,01/01/1998,0.59
73,01/02/1998,0.21
74,01/03/1998,0.29
75,01/04/1998,0.11
76,01/05/1998,0.35
77,01/06/1998,0.28
78,01/07/1998,-0.02
79,01/08/1998,-0.52
80,01/09/1998,-0.12
81,01/10/1998,0.10
82,01/11/1998,-0.11
83,01/12/1998,0.03
84,01/01/1999,0.42
85,01/02/1999,2.14
86,01/03/1999,1.69
87,01/04/1999,0.78
88,01/05/1999,0.48
89,01/06/1999,-0.09
90,01/07/1999,0.35
91,01/08/1999,0.32
92,01/09/1999,0.34
93,01/10/1999,2.41
94,01/11/1999,1.05
95,01/12/1999,0.87
96,01/01/2000,0.47
97,01/02/2000,0.10
98,01/03/2000,-0.33
99,01/04/2000,0.05
100,01/05/2000,-0.04
101,01/06/2000,0.59
102,01/07/2000,1.37
103,01/08/2000,1.09
104,01/09/2000,0.25
105,01/10/2000,0.01
106,01/11/2000,-0.04
107,01/12/2000,0.07
108,01/01/2001,0.28
109,01/02/2001,0.10
110,01/03/2001,0.41
111,01/04/2001,0.60
112,01/05/2001,0.45
113,01/06/2001,0.27
114,01/07/2001,0.73
115,01/08/2001,0.63
116,01/09/2001,0.29
117,01/10/2001,1.03
118,01/11/2001,1.25
119,01/12/2001,1.03
120,01/01/2002,0.57
121,01/02/2002,0.35
122,01/03/2002,0.31
123,01/04/2002,0.11
124,01/05/2002,0.07
125,01/06/2002,0.21
126,01/07/2002,0.61
127,01/08/2002,1.26
128,01/09/2002,1.49
129,01/10/2002,2.18
130,01/11/2002,3.58
131,01/12/2002,3.28
132,01/01/2003,1.73
133,01/02/2003,0.79
134,01/03/2003,1.44
135,01/04/2003,1.11
136,01/05/2003,0.95
137,01/06/2003,0.38
138,01/07/2003,-0.06
139,01/08/2003,0.07
140,01/09/2003,0.67
141,01/10/2003,0.54
142,01/11/2003,0.25
143,01/12/2003,0.51
144,01/01/2004,0.53
145,01/02/2004,0.06
146,01/03/2004,0.69
147,01/04/2004,0.51
148,01/05/2004,0.75
149,01/06/2004,0.80
150,01/07/2004,0.55
151,01/08/2004,0.30
152,01/09/2004,0.40
153,01/10/2004,0.41
154,01/11/2004,0.47
155,01/12/2004,0.64
156,01/01/2005,0.48
157,01/02/2005,0.06
158,01/03/2005,0.19
159,01/04/2005,0.94
160,01/05/2005,0.72
161,01/06/2005,-0.06
162,01/07/2005,-0.25
163,01/08/2005,-0.18
164,01/09/2005,-0.02
165,01/10/2005,0.43
166,01/11/2005,0.17
167,01/12/2005,0.23
168,01/01/2006,0.33
169,01/02/2006,-0.09
170,01/03/2006,0.30
171,01/04/2006,-0.17
172,01/05/2006,-0.12
173,01/06/2006,-0.42
174,01/07/2006,0.00
175,01/08/2006,-0.04
176,01/09/2006,0.16
177,01/10/2006,0.42
178,01/11/2006,0.54
179,01/12/2006,0.40
180,01/01/2007,0.22
181,01/02/2007,-0.10
182,01/03/2007,0.21
183,01/04/2007,0.25
184,01/05/2007,0.48
185,01/06/2007,0.55
186,01/07/2007,0.83
187,01/08/2007,0.75
188,01/09/2007,0.26
189,01/10/2007,-0.02
190,01/11/2007,0.21
191,01/12/2007,1.00
192,01/01/2008,0.33
193,01/02/2008,0.03
194,01/03/2008,0.53
195,01/04/2008,1.04
196,01/05/2008,1.37
197,01/06/2008,1.19
198,01/07/2008,0.48
199,01/08/2008,0.19
200,01/09/2008,0.22
201,01/10/2008,0.62
202,01/11/2008,0.60
203,01/12/2008,0.17
204,01/01/2009,0.00
205,01/02/2009,-0.09
206,01/03/2009,0.14
207,01/04/2009,0.49
208,01/05/2009,0.84
209,01/06/2009,0.69
210,01/07/2009,0.17
211,01/08/2009,-0.31
212,01/09/2009,0.01
213,01/10/2009,0.28
214,01/11/2009,0.22
215,01/12/2009,0.16
216,01/01/2010,0.68
217,01/02/2010,0.26
218,01/03/2010,0.53
219,01/04/2010,0.61
220,01/05/2010,0.42
221,01/06/2010,-0.09
222,01/07/2010,-0.21
223,01/08/2010,0.12
224,01/09/2010,0.88
225,01/10/2010,1.00
226,01/11/2010,1.53
227,01/12/2010,0.95
228,01/01/2011,0.43
229,01/02/2011,-0.02
230,01/03/2011,0.27
231,01/04/2011,0.60
232,01/05/2011,0.36
233,01/06/2011,0.19
234,01/07/2011,-0.04
235,01/08/2011,0.55
236,01/09/2011,0.52
237,01/10/2011,0.39
238,01/11/2011,0.57
239,01/12/2011,0.51
240,01/01/2012,0.00
241,01/02/2012,-0.21
242,01/03/2012,-0.08
243,01/04/2012,0.55
